,taxon,variable,test,statistic,p-value,mean_1,mean_0,mean_2,mean_3,mean_4,species_name,time_point
0,Dolosigranulum.pigrum,Severity,Kruskal-Wallis,6.326858140779848,0.1760319018435224,1.6961125234923327,2.888979383906678,0.774043334124491,1.6483651171558873,0.0061433033432108,Dolosigranulum.pigrum,Post
1,Moraxella.nonliquefaciens,Severity,Kruskal-Wallis,8.874915817574845,0.06430317613986093,4.151998783940042,2.6575240418988217,2.07869325099815,1.562227360687811,-3.1292552654022407,Moraxella.nonliquefaciens,Post
