Variable,Coefficient,P_value,Model_Type,Taxon
Intercept,-58.639314282643305,0.21428053463670327,MixedLM,Jouyvirus.ev207
C(Timing)[T.Post],105.22681987846543,0.03423680393822299,MixedLM,Jouyvirus.ev207
C(Timing)[T.Prior],81.64428678381024,0.08641892161516937,MixedLM,Jouyvirus.ev207
C(Symptoms)[T.Mild],-160.72399783990878,0.10294945276494821,MixedLM,Jouyvirus.ev207
C(Symptoms)[T.Severe],-239.05421909435802,0.18425960227441707,MixedLM,Jouyvirus.ev207
Severity,91.89320142629252,0.08401012648821927,MixedLM,Jouyvirus.ev207
Group Var,0.026599400831011207,0.7270218161169529,MixedLM,Jouyvirus.ev207
