SampleID	3001361935-DNA
SampleID	3001361959-DNA
SampleID	3001368261-DNA
SampleID	3001368269-DNA
SampleID	3001368277-DNA
SampleID	3001369346-DNA
SampleID	3001369354-DNA
SampleID	3001369378-DNA
SampleID	3001370799-DNA
SampleID	3001370807-DNA
SampleID	3001370851-DNA
SampleID	3001378114-DNA
SampleID	3001378122-DNA
SampleID	3001378130-DNA
SampleID	3001379500-DNA
SampleID	3001379508-DNA
SampleID	3001379528-DNA
SampleID	3001384560-DNA
SampleID	3001384568-DNA
SampleID	3001384576-DNA
SampleID	3001421314-DNA
SampleID	3001421330-DNA
SampleID	3001421342-DNA
SampleID	3001425825-DNA
SampleID	3001425833-DNA
SampleID	3001425865-DNA
SampleID	3001427154-DNA
SampleID	3001427166-DNA
SampleID	3001427175-DNA
SampleID	3001428244-DNA
SampleID	3001428252-DNA
SampleID	3001428260-DNA
SampleID	3001439963-DNA
SampleID	3001439971-DNA
SampleID	3001439979-DNA
SampleID	3001448375-DNA
SampleID	3001448383-DNA
