taxon,variable,test,statistic,p-value,mean_0,mean_1,mean_2,mean_3,mean_4,species_name
Streptococcus.pneumoniae,Severity,Kruskal-Wallis,8.028336814,0.090545679,2.096707616,3.082312874,2.894438702,2.788007488,4.791530824,Streptococcus.pneumoniae
Haemophilus.influenzae,Severity,Kruskal-Wallis,13.42687761,0.009367822,1.703409852,0.280659109,1.084374447,0.243335392,6.253628124,Haemophilus.influenzae
