taxon,variable,test,statistic,p-value,mean_Prior,mean_Acute,mean_Post,species_name
Streptococcus.pneumoniae,Timing,Kruskal-Wallis,4.575617373,0.101488612,2.548523536,3.158654298,2.420085303,Streptococcus.pneumoniae
Haemophilus.influenzae,Timing,Kruskal-Wallis,3.8871612,0.143190323,0.815578206,1.616354446,0.683191237,Haemophilus.influenzae
