taxon,variable,test,statistic,p-value,mean_Asymptomatic,mean_Mild,mean_Severe,species_name
Streptococcus.pneumoniae,Symptoms,Kruskal-Wallis,6.194573406,0.0451716,2.096707616,2.964560752,3.002670703,Streptococcus.pneumoniae
Haemophilus.influenzae,Symptoms,Kruskal-Wallis,4.916006763,0.085605702,1.703409852,0.784396187,0.887295328,Haemophilus.influenzae
