,test,statistic,p-value
Shannon,Kruskal-Wallis,4.759510275470056,0.09257324242915538
Simpson,Kruskal-Wallis,5.415393573257939,0.06669023179543285
Observed,Kruskal-Wallis,1.8258912246325012,0.40134028828564156
