,test,statistic,p-value
Shannon,Kruskal-Wallis,8.431443086436735,0.07699274324521992
Simpson,Kruskal-Wallis,8.263175785478897,0.08239976032871021
Observed,Kruskal-Wallis,3.9525489310948183,0.4124657419383171
