,test,statistic,p-value
Shannon,Kruskal-Wallis,0.30295447498564865,0.8594374450012866
Simpson,Kruskal-Wallis,0.18795542467760065,0.9103030505406562
Observed,Kruskal-Wallis,0.43397000772162536,0.8049420402373657
