,taxon,variable,test,statistic,p-value,mean_Asymptomatic,mean_Mild,mean_Severe,species_name,time_point
0,Streptococcus.pneumoniae,Symptoms,Kruskal-Wallis,3.4556374184786023,0.17767154088440626,1.6991909110964254,2.808132252248875,3.31483912518274,Streptococcus.pneumoniae,Prior
1,Moraxella.catarrhalis,Symptoms,Kruskal-Wallis,1.5184741882983985,0.4680233485947696,2.961885440408017,2.2522114191341385,1.7093416460995805,Moraxella.catarrhalis,Prior
