,taxon,variable,test,statistic,p-value,mean_Acute,mean_Post,mean_Prior,species_name
0,Streptococcus.pneumoniae,Timing,Kruskal-Wallis,4.57561737306105,0.10148861172686006,3.1586542977231917,2.4200853033235123,2.5485235358835725,Streptococcus.pneumoniae
1,Moraxella.catarrhalis,Timing,Kruskal-Wallis,6.03533744970423,0.048915120146179665,2.9407915972225944,1.8421998515428493,2.392012368293506,Moraxella.catarrhalis
