,taxon,variable,test,statistic,p-value,mean_Mild,mean_Severe,mean_Asymptomatic,species_name,time_point
0,Streptococcus.pneumoniae,Symptoms,Kruskal-Wallis,1.4715854672333535,0.47912548950536926,322.0014417985514,250.55062889357623,238.62839124387446,Streptococcus.pneumoniae,Acute
1,Haemophilus.influenzae,Symptoms,Kruskal-Wallis,2.3144297305841803,0.31436049910727626,167.9875482437202,99.72251575127999,269.3609685700379,Haemophilus.influenzae,Acute
2,Moraxella.catarrhalis,Symptoms,Kruskal-Wallis,0.13673732832202745,0.9339161087049476,291.01769669684194,324.0279202539614,301.5314837269736,Moraxella.catarrhalis,Acute
