,taxon,variable,test,statistic,p-value,mean_Mild,mean_Severe,mean_Asymptomatic,species_name,time_point
0,Bacteria: Streptococcus pneumoniae,Symptoms,Kruskal-Wallis,0.6601200050770984,0.7188805974770431,7.733184615384616,1.28018,3.8770944444444444,Streptococcus pneumoniae,Post
1,Bacteria: Haemophilus influenzae,Symptoms,Kruskal-Wallis,0.13753877289832697,0.9335419426782675,8.06649230769231,12.28744,7.1785,Haemophilus influenzae,Post
