,taxon,variable,test,statistic,p-value,mean_0,mean_3,mean_2,mean_1,mean_4,species_name,time_point
0,Bacteria: Streptococcus pneumoniae,Severity,Kruskal-Wallis,1.0326453890465266,0.9048061376502319,3.8770944444444444,1.600225,7.181336363636363,8.447341176470589,0.0,Streptococcus pneumoniae,Post
1,Bacteria: Haemophilus influenzae,Severity,Kruskal-Wallis,9.39164089833433,0.05202204032373023,7.1785,0.0,14.114786363636364,0.23928823529411763,61.4372,Haemophilus influenzae,Post
