,taxon,variable,test,statistic,p-value,mean_2,mean_1,mean_0,mean_3,mean_4,species_name,time_point
0,Streptococcus.pneumoniae,Severity,Kruskal-Wallis,2.798192510949974,0.5921447586419278,257.91452782966735,290.0766423004223,240.72069676263206,141.80653116833292,201.4158855903033,Streptococcus.pneumoniae,Post
1,Haemophilus.influenzae,Severity,Kruskal-Wallis,2.1100522025244857,0.7155258500045022,118.78308590656962,-19.762916653479902,83.16180010856861,-73.71839534011171,204.05322026660713,Haemophilus.influenzae,Post
2,Moraxella.catarrhalis,Severity,Kruskal-Wallis,7.110439805057467,0.13016582091965181,119.11524106216055,246.24501184381958,240.83863458310924,33.756425812841734,-548.5416392275426,Moraxella.catarrhalis,Post
