,taxon,variable,test,statistic,p-value,mean_3,mean_2,mean_0,mean_1,mean_4,species_name,time_point,p-adjusted
0,Streptococcus.pneumoniae,Severity,Kruskal-Wallis,5.057880931101139,0.2814099457634734,3828.655425353396,9726.30981792246,3709.4916406131924,4525.983269206611,72901.21214732916,Streptococcus.pneumoniae,Prior,0.37521326101796454
1,Haemophilus.influenzae,Severity,Kruskal-Wallis,5.930932906577099,0.20436596169612123,13869.919216207938,23049.542570400306,8647.077126480699,2179.7976637685365,213415.49750983447,Haemophilus.influenzae,Prior,0.37521326101796454
2,Moraxella.catarrhalis,Severity,Kruskal-Wallis,7.185380502912986,0.12641005041520573,1107.2770250052092,5293.497553373644,9354.586623605932,2751.368568597385,13851.35343113415,Moraxella.catarrhalis,Prior,0.37521326101796454
3,Staphylococcus.aureus,Severity,Kruskal-Wallis,3.7516402013584127,0.4406597625943248,122622.16551912007,149312.14750297906,185609.5120093607,299164.97698006034,137159.1797536306,Staphylococcus.aureus,Prior,0.4406597625943248
