,taxon,variable,test,statistic,p-value,mean_1,mean_2,mean_3,mean_0,mean_4,species_name,p-adjusted
0,Streptococcus.pneumoniae,Severity,Kruskal-Wallis,7.076912318015688,0.13187915635458614,15636.63445685995,7763.8056944139835,6973.567404833107,5668.885466666091,60454.54490472761,Streptococcus.pneumoniae,0.17583887513944818
1,Haemophilus.influenzae,Severity,Kruskal-Wallis,13.748934833470551,0.008141003195007834,1232.3582703634254,19231.570784088486,11366.10500436721,9963.954302553564,144260.61967767926,Haemophilus.influenzae,0.032564012780031334
2,Moraxella.catarrhalis,Severity,Kruskal-Wallis,8.299241794841063,0.08121155023915123,7341.9190574137565,4837.568364073646,2077.3418244162585,9428.979973148467,16092.215025345424,Moraxella.catarrhalis,0.16242310047830247
3,Staphylococcus.aureus,Severity,Kruskal-Wallis,3.4485054164750863,0.4857512811593775,266878.14278673485,148053.00317527427,152318.44443608867,245779.6817832989,59816.22990238618,Staphylococcus.aureus,0.4857512811593775
