,taxon,variable,test,statistic,p-value,mean_1,mean_2,mean_3,mean_0,mean_4,species_name,time_point,p-adjusted
0,Streptococcus.pneumoniae,Severity,Kruskal-Wallis,5.086522582635881,0.2785343968931375,36073.35690629268,6766.060360289354,12436.554238774936,7862.625715876781,107998.33701109725,Streptococcus.pneumoniae,Acute,0.5457901994415173
1,Haemophilus.influenzae,Severity,Kruskal-Wallis,4.459142379797584,0.3474196651865293,1050.668222307035,22328.443022832067,14463.803170787696,9274.007516661799,212880.3465270893,Haemophilus.influenzae,Acute,0.5457901994415173
2,Moraxella.catarrhalis,Severity,Kruskal-Wallis,3.9754197213669427,0.409342649581138,2566.418033360723,2981.5861477617505,3903.587124324811,11566.279075111153,34425.29164490212,Moraxella.catarrhalis,Acute,0.5457901994415173
3,Staphylococcus.aureus,Severity,Kruskal-Wallis,1.4936928975502894,0.8277581010929289,285697.3558455545,150573.7007752557,263854.46150430944,260940.75962149343,38209.657417179245,Staphylococcus.aureus,Acute,0.8277581010929289
